"","homophily","aversion","Scenario 1","Scenario 2","Scenario 3"
"1","0.5","0.5","91.1 (86.4, 94.1)","84.9 (78.5, 87.9)","85.2 (80.3, 89.4)"
"2","0.5","0.7","91.4 (87.4, 95.1)","85.6 (79.6, 89.4)","84.8 (77.9, 90.2)"
"3","0.5","0.9","93.2 (90.1, 96.1)","85.4 (80.9, 90.7)","85.6 (81.4, 89.3)"
"4","0.7","0.5","89.2 (83.9, 92.9)","83.6 (78.2, 87.5)","83.2 (77, 87.9)"
"5","0.7","0.7","88.8 (85.7, 92.3)","83.2 (77.6, 88.5)","82.2 (76.8, 87.6)"
"6","0.7","0.9","91 (86.5, 95)","85 (78.4, 88)","84 (77.9, 88.9)"
"7","0.9","0.5","86 (79.4, 89.2)","80.2 (74, 85.8)","80 (72.2, 85.9)"
"8","0.9","0.7","84.2 (80.5, 89.5)","81.5 (75.3, 86.5)","81.5 (75.8, 87.3)"
"9","0.9","0.9","86.3 (79.6, 90.7)","82.2 (74.6, 87.3)","81.2 (74.7, 85.5)"
